,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
79,HDFS-1048,HDFS-1628,Duplicate,org.apache.hadoop.security.AccessControlException should show full path on error,AccessControlException should display the full path,0,0,1
80,HDFS-1062,HDFS-1141,Duplicate,Improve error messages for failed completeFile,completeFile does not check lease ownership,0,0,1
81,HDFS-1065,HDFS-1481,Duplicate,Secondary Namenode fails to fetch image and edits files,NameNode should validate fsimage before rolling,0,1,1
82,HDFS-1077,HDFS-2298,Duplicate,namenode RPC protocol method names are overloaded,TestDfsOverAvroRpc is failing on trunk,0,1,1
83,HDFS-1125,HDFS-1773,Duplicate,Removing a datanode (failed or decommissioned) should not require a namenode restart,Remove a datanode from cluster if include list is not empty and this datanode is removed from both include and exclude lists,1,0,1
84,HDFS-1143,HDFS-1393,Not A Problem,Implement Background deletion,When a directory with huge number of files is deleted; the NN becomes unresponsive,1,1,1
85,HDFS-1147,HDFS-1295,Duplicate,Reduce NN startup time by reducing the processing time of block reports,Improve namenode restart times by short-circuiting the first block reports from datanodes,1,1,1
86,HDFS-1154,HDFS-3579,Duplicate,libhdfs::hdfsExists should return different value in case of 1. error and 2. file does not exist,libhdfs: fix exception handling,0,1,1
87,HDFS-1158,HDFS-1161,Duplicate, HDFS-457 increases the chances of losing blocks,Make DN minimum valid volumes configurable,1,0,1
88,HDFS-1172,HDFS-8763,Fixed,Blocks in newly completed files are considered under-replicated too quickly,After file closed; a race condition between IBR of 3rd replica of lastBlock and ReplicationMonitor,0,0,1
89,HDFS-1177,HDFS-1212,Duplicate,Ivy2.0 has bugs: let's upgrate to 2.1.0,Harmonize HDFS JAR library versions with Common,1,0,1
90,HDFS-1179,HDFS-6634,Duplicate,Implement a file change log,inotify in HDFS,0,1,1
91,HDFS-1312,HDFS-4408,Fixed,Re-balance disks within a Datanode,Balancer  for  DataNode's Volumes,1,1,1
92,HDFS-1360,HDFS-1535,Fixed,TestBlockRecovery should bind ephemeral ports,TestBlockRecovery should not use fixed port,0,0,1
93,HDFS-1362,HDFS-4239,Fixed,Provide volume management functionality for DataNode,Means of telling the datanode to stop using a sick disk,0,1,1
94,HDFS-1389,HDFS-2589,Duplicate,HftpFileSystem should not start a RenewerThread in the static initializer,unnecessary hftp token fetch and renewal thread,0,1,1
95,HDFS-1392,HDFS-1541,Duplicate,Improve namenode scalability by prioritizing datanode heartbeats over block reports,Not marking datanodes dead When namenode in safemode,1,1,1
96,HDFS-1401,HDFS-1679,Cannot Reproduce,TestFileConcurrentReader test case is still timing out / failing,TestFileConcurrentReader fails intermittently,0,0,1
97,HDFS-1401,HDFS-1885,Cannot Reproduce,TestFileConcurrentReader test case is still timing out / failing,Recurring failures in TestFileConcurrentReader for > 12 days,0,0,1
98,HDFS-1410,HDFS-1572,Duplicate,The doCheckpoint() method should be invoked every hour,Checkpointer should trigger checkpoint with specified period.,1,0,1
99,HDFS-1418,HDFS-1947,Duplicate,"DFSClient Uses Deprecated ""mapred.task.id"" Configuration Key Causing Unecessary Warning Messages",DFSClient should use mapreduce.task.attempt.id,1,0,1
100,HDFS-1464,HDFS-3404,Duplicate,Fix reporting of 2NN address when dfs.secondary.http.address is default (wildcard),Make putImage in GetImageServlet infer remote address to fetch from request,0,1,1
101,HDFS-1471,HDFS-1967,Duplicate,TestHDFSTrash times out on trunk,TestHDFSTrash failing on trunk and 22,1,0,1
102,HDFS-1490,HDFS-3857,Fixed,TransferFSImage should timeout,Image transfer never times out on client side,1,1,1
103,HDFS-1496,HDFS-1602,Duplicate,TestStorageRestore is failing after HDFS-903 fix,NameNode storage failed replica restoration is broken,0,0,1
104,HDFS-1499,HDFS-8286,Duplicate,mv the namenode NameSpace and BlocksMap to hbase to save the namenode memory,Scaling out the namespace using KV store,0,1,1
105,HDFS-1514,HDFS-1516,Duplicate,project.version in aop.xml is out of sync with build.xml,mvn-install is broken after 0.22 branch creation,0,1,1
106,HDFS-1525,HDFS-1527,Duplicate,TestLargeBlock is failing on 32-bit VMs,SocketOutputStream.transferToFully fails for blocks >= 2GB on 32 bit JVM,0,1,1
107,HDFS-1592,HDFS-1849,Fixed,Datanode startup doesn't honor volumes.tolerated ,Respect failed.volumes.tolerated on startup,0,1,1
108,HDFS-1627,HDFS-1904,Fixed,Fix NullPointerException in Secondary NameNode,Secondary Namenode dies when a mkdir on a non-existent parent directory is run,1,0,1
109,HDFS-1633,HDFS-2082,Duplicate,Secondary namenode web UI does not print status,SecondaryNameNode web interface doesn't show the right info,1,0,1
110,HDFS-1635,HDFS-1737,Duplicate,Federation: Bump up LAYOUT_VERSION in FSConstants.java for Federation before committing to trunk,Federation: Update the layout version for federation changes,0,1,1
111,HDFS-1740,HDFS-2451,Not A Problem,TestNodeCount is failing with NPE,TestNodeCount.testNodeCount failes with NPE,0,0,1
112,HDFS-1742,HDFS-6634,Duplicate,Provide hooks / callbacks to execute some code based on events happening in HDFS (file / directory creation; opening; closing; etc),inotify in HDFS,0,1,1
113,HDFS-1759,HDFS-3400,Duplicate,Improve error message when starting secure DN without jsvc,DNs should be able start with jsvc even if security is disabled,0,0,1
114,HDFS-1773,HDFS-1867,Fixed,Remove a datanode from cluster if include list is not empty and this datanode is removed from both include and exclude lists,Remove a datanode from cluster if include list is not empty and this datanode is removed from both include and exclude lists,0,1,1
115,HDFS-1815,HDFS-2048,Duplicate,Add migration tests from old-format to new-format storage,1073: Improve upgrade tests from 0.22,1,1,1
116,HDFS-1815,HDFS-1936,Duplicate,Add migration tests from old-format to new-format storage,Updating the layout version from HDFS-1822 causes upgrade problems.,0,0,1
117,HDFS-1841,HDFS-4139,Duplicate,Enforce read-only permissions in FUSE open(),fuse-dfs RO mode still allows file truncation,1,0,1
118,HDFS-1943,HDFS-2377,Fixed,fail to start datanode while start-dfs.sh is executed by root user,hdfs script reporting Unrecognized option: -jvm,1,1,1
119,HDFS-1951,HDFS-1970,Won't Fix,Null pointer exception comes when Namenode recovery happens and there is no response from client to NN more than the hardlimit for NN recovery and the current block is more than the prev block size in NN ,Null pointer exception comes when Namenode recovery happens and there is no response from client to NN more than the hardlimit for NN recovery and the current block is more than the prev block size in NN ,1,1,1
120,HDFS-1971,HDFS-2166,Fixed,HA: Send block report from datanode to both active and standby namenodes,Datanodes should send block reports to both Active and Standby Namenodes.,0,1,1
121,HDFS-1977,HDFS-2072,Fixed,Stop using StringUtils.stringifyException(),Remove StringUtils.stringifyException(ie) in logger functions,1,0,1
122,HDFS-2007,HDFS-2698,Duplicate,Backupnode downloading image/edits from Namenode at every checkpoint .. ,BackupNode is downloading image from NameNode for every checkpoint,1,0,1
123,HDFS-2065,HDFS-2509,Fixed,Fix NPE in DFSClient.getFileChecksum,FileSystem#getFileChecksum will throw NullPointerException on non existing directories/files.,1,1,1
124,HDFS-2079,HDFS-3004,Duplicate,1073: create an escape hatch to ignore startup consistency problems,Implement Recovery Mode,0,1,1
125,HDFS-2095,HDFS-4581,Duplicate,org.apache.hadoop.hdfs.server.datanode.DataNode#checkDiskError produces check storm making data node unavailable,DataNode#checkDiskError should not be called on network errors,1,1,1
126,HDFS-2163,HDFS-3042,Duplicate,HA Agent should perform Active Namenode Election and should trigger the failover when Active Namenode goes down,Automatic failover support for NN HA,0,1,1
127,HDFS-2171,HDFS-2202,Duplicate,Changes to balancer bandwidth should not require datanode restart.,Changes to balancer bandwidth should not require datanode restart.,1,1,1
128,HDFS-2219,HDFS-3818,Fixed,Fsck should work with fully qualified file paths.,Allow fsck to accept URIs as paths,0,0,1
129,HDFS-2247,HDFS-3094,Duplicate,"Provide a ""-y"" option that skips the confirmation question of the namenode for use in scripts.",add -nonInteractive and -force option to namenode -format command,0,1,1
130,HDFS-2261,HDFS-2270,Fixed,AOP unit tests are not getting compiled or run ,AOP system test framework is broken,0,0,1
131,HDFS-2264,HDFS-3403,Fixed,NamenodeProtocol has the wrong value for clientPrincipal in KerberosInfo annotation,SecondaryNamenode doesn't start up in secure cluster,0,0,1
132,HDFS-2264,HDFS-3345,Fixed,NamenodeProtocol has the wrong value for clientPrincipal in KerberosInfo annotation,Primary and secondary NameNode principals must be the same,0,1,1
133,HDFS-2264,HDFS-4081,Fixed,NamenodeProtocol has the wrong value for clientPrincipal in KerberosInfo annotation,NamenodeProtocol and other Secure Protocols should use different config keys for serverPrincipal and clientPrincipal KerberosInfo components ,0,1,1
134,HDFS-2276,HDFS-2876,Fixed,src/test/unit tests not being run in mavenized HDFS,The unit tests (src/test/unit) are not being compiled and are not runnable,0,0,1
135,HDFS-2303,HDFS-2962,Fixed,Unbundle jsvc,jsvc needs to be removed from hdfs packaging,0,1,1
136,HDFS-2321,HDFS-2322,Duplicate,HDFS Build failure due to unresolved commons.daemon.os.name & commons.daemon.os.arch properties in Windows 7,the build fails in Windows because commons-daemon TAR cannot be fetched,1,1,1
137,HDFS-2329,HDFS-2331,Not A Problem,HDFS-2317 in trunk appears to have broken the build,Hdfs compilation fails,0,0,1
138,HDFS-2346,HDFS-2382,Fixed,TestHost2NodesMap & TestReplicasMap will fail depending upon execution order of test methods,TestDfsOverAvroRpc fails,1,0,1
139,HDFS-2367,HDFS-2796,Fixed,HA: Enable the configuration of multiple HA cluster addresses,TestDFSClientFailover shuold use simpleHATopology.,0,0,1
140,HDFS-2378,HDFS-2637,Duplicate,recoverBlock timeout in DFSClient should be longer,The rpc timeout for block recovery is too low ,1,0,1
141,HDFS-2386,HDFS-2387,Duplicate,with security enabled fsck calls lead to handshake_failure and hftp fails throwing the same exception in the logs,hftp fails as it is not able to get delegation token over https,1,1,1
142,HDFS-2413,HDFS-3301,Fixed,Add public APIs for safemode,Add public waitOnSafeMode API with HdfsUtils ,1,1,1
143,HDFS-2413,HDFS-2466,Fixed,Add public APIs for safemode,Need a public way to check DFS Safemode status,1,0,1
144,HDFS-2426,HDFS-2432,Duplicate,webhdfs GETFILESTATUAS for a path that does not exist returns a 200 instead of a 404,webhdfs setreplication api should return a 403 when called on a directory,1,1,1
145,HDFS-2434,HDFS-3812,Fixed,TestNameNodeMetrics.testCorruptBlock fails intermittently,TestNameNodeMetrics.testCorruptBlock fails,1,1,1
146,HDFS-2449,HDFS-2467,Duplicate,Fix the findbugs introduced in HftpFileSystem,HftpFileSystem uses incorrect compare for finding delegation tokens,1,1,1
147,HDFS-2464,HDFS-2647,Duplicate,Separate datatypes for DatanodeProtocol and InterDatanodeProtocol,Enable protobuf RPC for InterDatanodeProtocol; ClientDatanodeProtocol; JournalProtocol and NamenodeProtocol,0,1,1
148,HDFS-2529,HDFS-2560,Duplicate,lastDeletedReport should be scoped to BPOfferService; not DN,Refactor BPOfferService to be a static inner class,0,1,1
149,HDFS-2546,HDFS-3568,Duplicate,The C HDFS API should work with secure HDFS,fuse_dfs: add support for security,0,1,1
150,HDFS-2548,HDFS-8592,Duplicate,SafeModeException cannot be unwrapped,SafeModeException never get unwrapped,1,1,1
151,HDFS-2551,HDFS-6027,Unresolved,fuse-dfs's close() is asynchronous,"hadoop-fuse-dfs is not strictly consistent for ""cp"" actions file contents.",0,1,1
152,HDFS-2554,HDFS-7165,Duplicate,Add separate metrics for missing blocks with desired replication level 1,Separate block metrics for files with replication count 1,1,0,1
153,HDFS-2558,HDFS-6138,Duplicate,Federation docs do not describe how to enable mount side tables,User Guide for how to use viewfs with federation,1,1,1
154,HDFS-2598,HDFS-2647,Duplicate,ClientDatanodeProtocol in Protocol Buffers,Enable protobuf RPC for InterDatanodeProtocol; ClientDatanodeProtocol; JournalProtocol and NamenodeProtocol,0,1,1
155,HDFS-2628,HDFS-6025,Duplicate,Remove Mapred filenames from HDFS findbugsExcludeFile.xml file,Update findbugsExcludeFile.xml,0,1,1
156,HDFS-2632,HDFS-2877,Duplicate,existing in_use.lock file is removed after failing to lock this file,If locking of a storage dir fails; it will remove the other NN's lock file on exit,1,1,1
157,HDFS-2640,HDFS-2670,Fixed,Javadoc generation hangs,Exclude javadoc generation for generated protobuf classes,0,0,1
158,HDFS-2691,HDFS-2779,Fixed,HA: Tests and fixes for pipeline targets and replica recovery,HA: Add lease recovery handling to HA,1,0,1
159,HDFS-2695,HDFS-5681,Duplicate,ReadLock should be enough for FsNameSystem#renewLease.,renewLease should not hold fsn write lock,1,0,1
160,HDFS-2735,HDFS-2782,Duplicate,HA: add tests for multiple shared edits dirs,HA: Support multiple shared edits dirs,0,1,1
161,HDFS-2760,HDFS-6634,Duplicate,HDFS notification ,inotify in HDFS,0,0,1
162,HDFS-2866,HDFS-2874,Duplicate,Standby does not start up due to a gap in transaction id,HA: edit log should log to shared dirs before local dirs,0,1,1
163,HDFS-2882,HDFS-5529,Fixed,DN continues to start up; even if block pool fails to initialize,{ Disk Fail } Can we shutdown the DN when it meet's disk failed condition,0,1,1
164,HDFS-2882,HDFS-6590,Fixed,DN continues to start up; even if block pool fails to initialize,NullPointerException was generated in getBlockLocalPathInfo when datanode restarts,1,1,1
165,HDFS-2903,HDFS-2905,Duplicate,HA: NPE if shared edits directory is not available during failover,HA: Standby NN NPE when shared edits dir is deleted,1,1,1
166,HDFS-2932,HDFS-3493,Duplicate,Under replicated block after the pipeline recovery.,Invalidate excess corrupted blocks as long as minimum replication is satisfied,0,1,1
167,HDFS-2949,HDFS-6203,Fixed,HA: Add check to active state transition to prevent operator-induced split brain,check other namenode's state before HAadmin transitionToActive,0,1,1
168,HDFS-2970,HDFS-5012,Unresolved,Contending block synchronizations can result in scary log messages,replica.getGenerationStamp() may be >= recoveryId,0,1,1
169,HDFS-2977,HDFS-2979,Duplicate,HA: TestBalancerWithHANameNodes is failing,HA: Balancer should use logical uri for creating failover proxy with HA enabled.,0,1,1
170,HDFS-3022,HDFS-3058,Duplicate,HA: Test BookKeeperJournalManager with HA enabled,HA: Bring BookKeeperJournalManager up to date with HA changes,0,0,1
171,HDFS-3026,HDFS-3347,Fixed,HA: Handle failure during HA state transition,NullPointerException When trying to log to editstreams,0,1,1
172,HDFS-3048,HDFS-3787,Fixed,Small race in BlockManager#close,BlockManager#close races with ReplicationMonitor#run,1,0,1
173,HDFS-3053,HDFS-4953,Duplicate,Support for true zero-copy (mmap-based) reads,enable HDFS local reads via mmap,0,1,1
174,HDFS-3107,HDFS-7341,Fixed,HDFS truncate,Add initial snapshot support based on pipeline recovery,1,1,1
175,HDFS-3133,HDFS-5138,Duplicate,Add support for DFS upgrade with HA enabled,Support HDFS upgrade in HA,0,0,1
176,HDFS-3194,HDFS-3410,Fixed,DataNode block scanner is running too frequently,BlockPoolSliceScanner is too chatty,0,1,1
177,HDFS-3228,HDFS-4697,Unresolved,Use fadvise in local read path,short-circuit reads do not honor readahead settings,0,0,1
178,HDFS-3250,HDFS-3758,Duplicate,Get the fuse-dfs test running,TestFuseDFS test failing,0,0,1
179,HDFS-3250,HDFS-3634,Duplicate,Get the fuse-dfs test running,Add self-contained; mavenized fuse_dfs test,0,0,1
180,HDFS-3266,HDFS-3463,Fixed,DFSTestUtil#waitCorruptReplicas doesn't sleep between checks,DFSTestUtil.waitCorruptReplicas() should not use file reading time as a timeout measure.,0,0,1
181,HDFS-3267,HDFS-4681,Duplicate,TestBlocksWithNotEnoughRacks races with DN startup,TestBlocksWithNotEnoughRacks#testCorruptBlockRereplicatedAcrossRacks fails using IBM java,1,0,1
182,HDFS-3270,HDFS-3609,Duplicate,run valgrind on fuse-dfs; fix any memory leaks,libhdfs: don't force the URI to look like hdfs://hostname:port,0,0,1
183,HDFS-3287,HDFS-3695,Duplicate,'hdfs -format' should be able to initialize non-file journal managers.,Genericize format() to non-file JournalManagers,0,1,1
184,HDFS-3290,HDFS-6482,Duplicate,Use a better local directory layout for the datanode,Use block ID-based block layout on datanodes,0,0,1
185,HDFS-3320,HDFS-3321,Duplicate,When dfs.namenode.safemode.min.datanodes is configured there is a mismatch in UI report,Error message for insufficient data nodes to come out of safemode is wrong.,0,0,1
186,HDFS-3338,HDFS-3339,Duplicate,change INode to package private,change INode to package private,1,1,1
187,HDFS-3350,HDFS-3355,Fixed,findbugs warning: INodeFileUnderConstruction doesn't override INodeFile.equals(Object),findbugs complains about INodeFileUnderConstruction lacking an equals method,0,1,1
188,HDFS-3386,HDFS-3452,Duplicate,BK JM : Namenode is not deleting his lock entry '/ledgers/lock/lock-0000X'; when fails to acquire the lock,BKJM:Switch from standby to active fails and NN gets shut down due to delay in clearing of lock,0,0,1
189,HDFS-3405,HDFS-5113,Fixed,Checkpointing should use HTTP POST or PUT instead of GET-GET to send merged fsimages,Implement POST method to upload the checkpoint,0,1,1
190,HDFS-3449,HDFS-3966,Duplicate,TestFileCreation fails,For branch-1; TestFileCreation should use JUnit4 to make assumeTrue work,1,0,1
191,HDFS-3451,HDFS-3537,Duplicate,Move fuse-dfs out of contrib,Move libhdfs and fuse-dfs source to native subdirectories,0,0,1
